data_project_995994_2025_05_05
lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;v_23;v_3;v_1;v_2;v_16;v_357;v_377;v_378;v_457;v_17;v_18;v_25;v_359;v_452;v_380;v_421;v_368;v_374;v_28;v_29;v_572;v_34;v_35;v_36;v_37;v_38;v_39;v_40;v_41;v_42;v_43;v_44;v_47;v_667;v_668;v_669;v_461;v_454;v_45;v_46;v_455;v_482;v_484;v_487;v_76;v_73;v_79;v_68;v_70;v_71;v_74;v_78;v_77;v_75;v_69;v_72;v_466;v_557;v_576;v_80;v_81;v_87;v_92;v_88;v_91;v_83;v_93;v_89;v_90;v_84;v_86;v_82;v_85;v_463;v_558;v_575;v_95;v_96;v_577;v_670;v_671;v_672;v_673;v_674;v_675;v_676;v_677;v_97;v_98;v_99;v_100;v_101;v_102;v_303;v_103;v_422;v_104;v_105;v_343;v_344;v_345;v_346;v_347;v_348;v_349;v_350;v_351;v_423;v_559;v_560;v_561;v_562;v_563;v_564;v_565;v_566;v_567;v_568;v_569;v_158;v_159;v_160;v_161;v_162;v_573;v_574;v_163;v_164;v_385;v_386;v_418;v_409;v_410;v_388;v_389;v_392;v_393;v_394;v_395;v_396;v_397;v_399;v_401;v_402;v_403;v_404;v_411;v_405;v_408;v_407;v_406;v_387;v_417;v_459;v_571;v_246;v_248;v_250;v_252;v_254;v_277;v_278;v_279;v_280;v_281;v_282;v_283;v_284;v_285;v_286;v_194;v_297
246;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
247;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
248;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
249;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
250;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
251;0;0;31;6650617;-77;935;220;5;6;-99;1;1;6;-99;1;3;-99;2;2;2;2;-99;2;-99;1;0;0;0;-99;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;-99;2;4;5;3;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;-99;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;-99;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;-99;-66;-66;-66;-66;Text;-66;-66;Text;-66;-66;5;2;2;2;3;4;4;4;2;2;4;0;1;1;1;0;0;0;0;-99;2;2;2;2;4;4;2;4;2;5;3;3;2;5;2;2;2;2;2;2;2;2;2;2;4;2;3;14;10;6;1;25;Upper management commits to deadlines before working with architect and developers ;Agile process with customer ;Leads make the requirements sorta vague and hand off to developers;Same as above;Same as above;Not finishing entire project on time;Redoing code more time spent ;Same as above;Same as above ;Same as above ;-99;-99
252;0;0;31;6650617;-77;848;42;10;1;-99;1;1;6;-99;2;6;-99;2;2;4;1;-99;5;-99;1;0;0;0;-99;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;-99;1;4;3;2;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;1;Ideal customer group;0;1;0;0;1;0;1;0;1;0;1;1;1;0;0;0;-99;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;-99;-66;-66;Define a metric and plan to capture analytics like clicks;-66;-66;-66;Basic aspects on authentication ;Design thinking principles;-66;-99;1;4;4;2;5;4;3;4;3;2;4;0;1;1;0;0;0;0;0;-99;2;2;4;1;2;2;2;4;2;4;4;1;4;3;2;2;2;1;1;1;1;2;1;2;2;2;2;8;13;3;10;0;Fora;-99;-99;-99;-66;-99;-99;-99;-99;-66;-99;-99
253;0;0;31;6650617;-77;504;107;100;4;-99;1;1;5;-99;1;3;-99;2;2;3;1;-99;2;-99;1;0;0;0;-99;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-99;2;4;2;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;-99;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;-99;2;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;-99;-66;-99;-66;-66;-99;-99;-99;-99;-66;-66;4;4;3;4;2;4;2;4;4;4;3;1;1;0;0;0;0;0;0;-99;2;3;2;2;2;2;2;4;5;4;4;4;4;2;4;2;4;4;4;4;2;4;4;4;3;3;3;8;9;13;25;10;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
254;0;0;22;6650609;-77;634;107;10;18;-99;1;1;3;-99;4;4;-99;2;2;2;1;-99;2;-99;0;1;0;0;-99;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-99;2;4;4;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;-99;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-99;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;-99;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
255;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
256;0;0;32;6650617;-77;-1;220;2;23;-99;2;2;3;-99;4;3;-99;3;2;2;3;-99;8;rarely, less than quarterly;1;0;1;0;-99;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-99;1;5;5;2;0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;-99;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;-99;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;-99;-99;-99;-99;-99;-99;-66;-99;-66;-66;-66;3;3;3;3;3;3;3;3;3;3;3;0;0;1;0;0;0;0;0;-99;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;14;11;7;3;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
257;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
258;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
259;0;0;31;6650617;-77;846;220;6;13;-99;2;2;3;-99;3;11;-99;2;2;2;2;-99;5;-99;0;1;0;0;-99;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-99;2;5;4;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;-99;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;-99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;-99;-66;-66;I document it as a navigation doc, so that a new person will also be able to understand the project- what to do...;-66;-66;-66;-66;-66;-66;-66;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;0;0;0;-99;2;2;2;4;3;3;2;3;4;3;2;3;3;2;2;2;3;4;3;3;4;3;3;3;2;2;3;6;10;15;13;7;Some points were missing;If new features are needed to be added then there will delay.;sometimes it is not possible to implement certain tasks in small time.;If not communicated properly then there a weak knowledge about customer's domain;Motivation and support is always needed.;-99;-99;-99;-99;-99;Both.;SLA f any project should be mentioned, most of the time its the time constraint and priority 1 tasks.
260;0;0;31;6650617;-77;1464;220;6;5;-99;2;2;3;-99;1;8;-99;1;1;1;1;-99;3;-99;1;0;0;0;-99;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;-99;2;5;5;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;-99;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;-99;2;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;-99;integration;modifiability and reusability;how fast the goals are achieved with given number of resources;replaceability and how quick can system update;fault tolerance;recover;integrity;UI/UX design ;-66;how constraints are working together;1;4;4;2;2;4;2;2;2;2;4;1;1;1;1;0;0;0;0;-99;5;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;10;8;14;25;27;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
261;0;0;31;6650617;-77;721;220;66;22;Software;2;2;3;-99;3;4;-99;2;2;3;2;-99;7;-99;0;1;0;0;-99;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;-99;2;4;4;2;0;1;0;1;1;0;1;1;1;1;1;1;0;0;0;0;-99;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;-99;2;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;-99;-66;-99;-66;-99;-99;-66;-99;-66;-66;-66;3;3;4;3;4;3;3;3;3;4;4;0;1;0;1;0;0;0;0;-99;3;4;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;6;19;13;21;12;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
262;0;0;32;6650617;-77;-1;220;4;22;web service;2;2;5;-99;5;3;-99;1;1;3;3;-99;6;-99;1;0;0;0;-99;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-99;2;3;4;3;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;-99;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;-99;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;-99;-66;-66;text;-66;text;-66;-66;text;-66;-66;4;4;2;2;2;4;4;4;2;2;3;1;0;1;0;0;0;0;0;-99;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;13;18;21;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
263;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
264;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
265;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
266;0;0;22;6650600;-77;77;212;30;10;-99;1;1;3;-99;1;1;-99;3;2;2;1;-99;5;-99;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
267;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
268;0;0;31;6650617;-77;869;220;5-15 Depending project;17;-99;1;1;4;Completely from home;5;3;-99;1;1;2;2;-99;2;-99;0;1;0;1;Iterations;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;-99;2;5;4;2;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;Data Dictionary;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;-99;2;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;-99;-66;PM Documents - JIRA & requirements spreadsheet;-66;-66;PM Documents - JIRA & requirements spreadsheet;PM Documents - JIRA & requirements spreadsheet;PM Documents - JIRA & requirements spreadsheet;PM Documents - JIRA & requirements spreadsheet;-66;PM Documents - JIRA & requirements spreadsheet;5;3;5;1;3;3;3;3;3;3;3;1;1;1;0;0;0;0;1;Internal Testing;1;2;2;3;3;4;3;4;3;5;3;3;3;4;3;3;3;1;2;3;2;1;1;2;4;1;3;6;16;25;8;9;Lack of understanding;Lack of understanding of the user;No technical background;Lack of understanding;No technical background;Multiple revisions, extra work;Not the best user experience;Multiple revisions, extra work;Multiple revisions, extra work;Multiple revisions, extra work;Team members with lack of understanding may derail project from goals.;-99
269;0;0;31;6650617;-77;1235;42;5;15;-99;1;1;5;-99;3;6;-99;2;3;3;2;-99;5;-99;1;0;0;0;-99;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;-99;2;4;4;2;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;-99;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;-99;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;-99;-66;-66;-66;-66;-66;-66;Solution architecture design document. ;Wire frames and feedback on design;-66;-66;3;3;3;3;5;4;3;5;4;3;4;0;1;0;0;0;0;0;1;We use Sodelic that links Requirements and Test Cases. And provides coverage.;2;3;4;3;2;4;3;3;2;4;4;4;3;3;2;3;3;3;3;3;2;3;3;3;2;2;4;2;7;20;16;17;Email based discussion leads to decisions which are hidden from rest of the team.;Project Lead is responsible for budget and schedule and does not own the Scope or performance outcome.;Domain experts are not present. Requirements are deligated to a junior member of the team.;Requirements are subject to interpretaion;Edge cases were not documented and discovered after development based on initial description. Which turned out to be incomplete.;Customer satisfaction is lower.;Product quality suffered. End User (different from Project lead) was affected by the lower than expected outcome.;The important stakeholder was the end user who was not fully satisfied with the product. ;"This is the root cause of major change management; 50%+budget impact.";Rework;A combination of Human nature and Work methods. No one was willingly acting poorly. The work methods produced sub-optimal results.;use of Tools as mechanism to achieve RE best practices.
270;0;0;22;6650615;-77;923;196;12;4;-99;2;2;3;-99;3;4;-99;2;2;2;3;-99;5;-99;0;1;0;0;-99;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;-99;2;2;4;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;0;0;-99;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;-99;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;-99;Using non-quantified textual requirements;-66;Using quantified textual requirements;-66;Using quantified textual requirements;-66;Using non-quantified textual requirements;Using non-quantified textual requirements;-66;Using non-quantified textual requirements;5;2;2;3;2;4;1;4;2;2;4;0;0;0;0;1;0;0;0;-99;2;4;4;1;4;4;1;4;2;5;3;4;2;4;2;5;5;2;4;2;2;1;1;2;2;2;2;10;6;2;3;4;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
271;0;0;22;6650609;-77;620;7;30;17;-99;1;1;2;-99;3;1;-99;2;2;2;7;2 times per week minimum in announcwled meetings;1;-99;0;0;0;1;Hibrid;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;-99;2;4;5;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;0;0;-99;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;-99;1;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;-99;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
